Stars,Ratings,Prices,Brands,Capacity,Energy_stars,config
4.3,5625,16690,SAMSUNG,183.0,4,Freezer-on-Top
4.3,906,50290,HAIER,445.0,2,Double Door
4.0,415,11790,HAIER,175.0,2,Single Door
4.2,1797,15190,GODREJ,180.0,4,Single Door
3.3,12,15490,IFB,187.0,3,Single Door
5.0,2,24690,SAMSUNG,236.0,2,Freezer-on-Top
3.7,39,13900,BLUE STAR,55.0,5,Single Door
4.2,6,17490,IFB,206.0,4,Single Door
4.0,104,14790,HAIER,190.0,3,Single Door
4.3,906,38990,HAIER,355.0,3,Convertible
4.0,52,12490,HAIER,185.0,2,Single Door
3.9,7,25839,WHIRLPOOL,235.0,4,Double Door
5.0,2,17399,WHIRLPOOL,192.0,3,Single Door
3.8,185,12390,GODREJ,183.0,2,Single Door
2.8,11,27499,WHIRLPOOL,240.0,5,Full-Sized Freezer-on-Top
3.5,10,36890,BOSCH,302.0,3,Freezer-on-Top
4.1,3953,14990,HAIER,190.0,4,Freezer-on-Top
4.0,108,31490,PANASONIC,309.0,3,Double Door
3.5,57,12490,HAIER,190.0,2,Single Door
3.9,721,23990,GODREJ,238.0,3,Double Door
4.3,336,15540,WHIRLPOOL,184.0,3,Single Door
3.6,140,28490,WHIRLPOOL,259.0,3,Standard double door
3.4,2,181134,SAMSUNG,679.0,5,French Door
3.7,367,22490,GODREJ,294.0,2,Freezer-on-Top
3.7,69,25290,GODREJ,244.0,3,Double Door
5.0,2,122500,SAMSUNG,633.0,2,Freezer-on-Top
3.0,23,30490,WHIRLPOOL,259.0,2,Compact Freezer-on-Top
4.3,1205,17690,SAMSUNG,183.0,5,Freezer-on-Top
4.1,310,32490,PANASONIC,308.0,3,Freezer-on-Top
4.1,1254,29999,WHIRLPOOL,260.0,5,Full-Sized Freezer-on-Top
3.9,6,117990,SAMSUNG,653.0,5,Freezer-on-Top
3.7,40,28500,BOSCH,243.0,3,Freezer-on-Top
4.5,7,23490,GODREJ,268.0,3,Single Door
3.0,2,24069,WHIRLPOOL,265.0,3,Double Door
4.3,36,29300,SAMSUNG,236.0,2,Freezer-on-Top
3.6,34,26790,GODREJ,272.0,2,Double Door
3.9,831,12590,GODREJ,183.0,2,Single Door
4.2,2390,29990,SAMSUNG,256.0,3,Freezer-on-Top
4.2,3082,36590,SAMSUNG,301.0,3,Freezer-on-Top
4.1,7,30600,SAMSUNG,236.0,3,Freezer-on-Top
3.9,27,41890,BOSCH,302.0,3,Freezer-on-Top
1.0,1,21999,BPL,85.0,2,Freezer-on-Top
3.6,11,17490,HAIER,205.0,3,Single Door
4.2,4708,27490,SAMSUNG,236.0,3,Freezer-on-Top
1.0,1,17290,HAIER,190.0,5,Single Door
3.6,14,26290,IFB,285.0,2,Double Door
4.5,26,32990,SAMSUNG,301.0,2,Freezer-on-Top
1.0,2,31990,LLOYD,310.0,2,Freezer-on-Top
4.0,286,22490,GODREJ,223.0,3,Double Door
4.2,3082,35990,SAMSUNG,301.0,3,Freezer-on-Top
4.1,1257,43990,SAMSUNG,385.0,2,Freezer-on-Top
4.1,499,68490,SAMSUNG,501.0,1,Freezer-on-Top
4.0,692,17790,WHIRLPOOL,192.0,5,Single Door
5.0,1,42600,SAMSUNG,322.0,2,Freezer-on-Top
4.2,28,34990,BOSCH,269.0,3,Freezer-on-Top
3.9,26,80000,SAMSUNG,580.0,5,French Door
4.2,4708,26990,SAMSUNG,236.0,3,Freezer-on-Top
4.1,59,56090,PANASONIC,401.0,2,Double Door
4.1,4062,39290,SAMSUNG,322.0,3,Freezer-on-Top
4.2,1665,23890,SAMSUNG,236.0,2,Freezer-on-Top
4.2,194,99990,SAMSUNG,653.0,1,Freezer-on-Top
3.6,11,40490,WHIRLPOOL,312.0,3,Standard double door
3.1,10,32990,SAMSUNG,256.0,2,Freezer-on-Top
4.4,3,35990,BOSCH,263.0,3,Freezer-on-Top
3.7,10,48990,HAIER,355.0,3,Convertible
5.0,2,21990,SAMSUNG,246.0,3,Freezer-on-Top
4.1,2038,79990,SAMSUNG,653.0,3,Full-Sized Side-by-Side
4.2,52,19600,SAMSUNG,189.0,5,Freezer-on-Top
3.9,52,97190,LG,688.0,5,Side-by-Side
4.5,26,39800,SAMSUNG,301.0,2,Freezer-on-Top
4.0,32,36190,BLUE STAR,300.0,5,Single Door
4.1,59,54990,PANASONIC,357.0,2,Double Door
4.1,310,36990,PANASONIC,338.0,3,Freezer-on-Top
3.8,41,18490,GODREJ,234.0,3,Single Door
4.2,370,42990,GODREJ,436.0,2,Double Door
4.0,12,21990,SAMSUNG,246.0,3,Freezer-on-Top
4.2,226,16200,LLOYD,200.0,3,Single Door
5.0,2,44990,TOSHIBA,349.0,2,Freezer-on-Bottom
4.2,741,112990,SAMSUNG,633.0,3,Full-Sized Side-by-Side
3.9,721,26990,GODREJ,272.0,3,Double Door
1.0,2,59990,BOSCH,599.0,2,Double Door
3.2,6,65990,TOSHIBA,587.0,5,Side-by-Side
4.0,1564,12890,GODREJ,180.0,2,Freezer-on-Top
3.9,2157,13690,GODREJ,183.0,3,Single Door
4.0,1579,16990,WHIRLPOOL,192.0,5,Single Door
4.0,3563,14950,WHIRLPOOL,184.0,4,Single Door
3.7,10,48990,HAIER,355.0,3,Convertible
3.8,4,27200,SAMSUNG,236.0,2,Freezer-on-Top
2.9,7,49990,WHIRLPOOL,411.0,2,Standard double door
4.0,7,21990,SAMSUNG,215.0,5,Freezer-on-Top
3.6,34,32190,GODREJ,272.0,2,Double Door
4.1,310,32490,PANASONIC,308.0,3,Freezer-on-Top
4.3,5,33990,LG,322.0,2,Freezer-on-Top
3.9,38,32990,LG,322.0,2,Freezer-on-Top
4.0,9,28090,GODREJ,244.0,2,Double Door
4.2,194,81990,SAMSUNG,653.0,3,Full-Sized Side-by-Side
3.9,253,16990,VOLTAS BEKO,210.0,3,Freezer-on-Top
5.0,2,44890,HAIER,325.0,3,Standard double door
5.0,1,31200,SAMSUNG,236.0,3,Freezer-on-Top
4.0,1,26990,LG,246.0,3,Freezer-on-Top
3.9,2157,14090,GODREJ,183.0,3,Single Door
3.9,721,23990,GODREJ,238.0,3,Double Door
4.0,108,31490,PANASONIC,309.0,3,Double Door
5.0,1,31200,SAMSUNG,236.0,3,Freezer-on-Top
4.0,1,32490,LG,246.0,3,Freezer-on-Top
4.0,9,23990,GODREJ,244.0,2,Double Door
3.6,34,26790,GODREJ,272.0,2,Double Door
4.0,104,42300,SAMSUNG,314.0,2,Full-Sized Freezer-on-Top
1.8,3,55290,WHIRLPOOL,467.0,2,Convertible
5.0,1,92990,SAMSUNG,653.0,3,Side-by-Side
3.6,6,33349,WESTERN,216.0,5,Freezer-on-Bottom
3.9,831,12590,GODREJ,183.0,2,Single Door
4.0,3563,15990,WHIRLPOOL,184.0,4,Single Door
4.2,1797,15190,GODREJ,180.0,4,Single Door
4.1,2114,15690,GODREJ,180.0,4,Single Door
3.1,2,22890,SAMSUNG,215.0,3,Freezer-on-Top
5.0,2,91600,SAMSUNG,653.0,3,Side-by-Side
3.9,15,29600,SAMSUNG,236.0,2,Freezer-on-Top
3.9,10,21990,SAMSUNG,184.0,1,Freezer-on-Top
5.0,4,96190,SAMSUNG,653.0,3,Full-Sized Side-by-Side
4.2,454,14790,GODREJ,192.0,4,Freezer-on-Top
4.2,454,14790,GODREJ,192.0,4,Freezer-on-Top
4.2,454,14790,GODREJ,192.0,4,Freezer-on-Top
4.2,454,14790,GODREJ,192.0,4,Freezer-on-Top
